CoflowID	FlowNum	Starttime	Endtime	Interval
COFLOWID8	1	1579853798.83	1579853881.65	82.8199088573
COFLOWID10	1	1579853800.8	1579853886.01	85.2108819485
COFLOWID11	1	1579853801.8	1579853889.0	87.1946020126
COFLOWID20	7	1579853839.8	1579853927.32	87.5167520046
COFLOWID7	73	1579853794.82	1579855010.38	1215.56223488
COFLOWID14	137	1579853811.8	1579855043.69	1231.88789797
COFLOWID2	2	1579853738.8	1579855122.56	1383.76472116
COFLOWID5	51	1579853750.8	1579856911.24	3160.44386983
COFLOWID19	3	1579853830.8	1579856956.79	3125.99035311
COFLOWID9	2912	1579853798.83	1579865959.74	12160.907305
COFLOWID16	5117	1579853820.8	1579870779.47	16958.674139
COFLOWID4	3132	1579853743.8	1580017259.17	163515.371571
COFLOWID12	20286	1579853809.8	1580513430.93	659621.124539
