CoflowID	Mapper	Reducer	DataSize(KB)	Starttime	Endtime	Interval
COFLOWID3	66	38	2045	1579778480.1	1579778519.05	38.9532690048
COFLOWID3	138	38	2045	1579778481.7	1579778524.38	42.683961153
COFLOWID7	10	142	2045	1579778533.1	1579778811.12	278.018680811
COFLOWID7	18	142	2045	1579778533.86	1579778822.1	288.235977888
COFLOWID7	34	142	2045	1579778536.83	1579778840.43	303.603167057
COFLOWID7	50	142	2045	1579778547.07	1579778864.26	317.18396616
COFLOWID7	66	142	2045	1579778551.93	1579778871.57	319.636057138
COFLOWID7	82	142	2045	1579778551.93	1579778872.79	320.852010012
COFLOWID7	114	142	2045	1579778559.38	1579778877.88	318.500006914
COFLOWID7	130	142	2045	1579778559.38	1579778879.09	319.712042093
COFLOWID7	138	142	2045	1579778569.17	1579778881.55	312.384029865
COFLOWID9	10	0	1022	1579778537.11	1579782981.23	4444.11989403
COFLOWID9	10	1	1022	1579778537.11	1579782981.23	4444.12401295
COFLOWID9	10	3	1022	1579778537.11	1579782981.23	4444.12402797
COFLOWID9	10	7	1022	1579778537.11	1579782981.23	4444.12403297
COFLOWID9	10	10	1022	1579778537.11	1579782981.23	4444.12404013
COFLOWID9	10	11	1022	1579778537.11	1579782981.23	4444.1240449
COFLOWID9	10	13	1022	1579778537.11	1579782981.23	4444.12405205
COFLOWID9	10	17	1022	1579778537.11	1579782981.23	4444.1240561
COFLOWID9	10	19	1022	1579778537.11	1579782981.23	4444.12406301
COFLOWID9	10	22	1022	1579778537.11	1579782981.23	4444.12406802
COFLOWID9	10	27	1022	1579778537.11	1579782981.23	4444.12407303
COFLOWID9	10	35	1022	1579778537.11	1579782981.23	4444.12407804
COFLOWID9	10	36	1022	1579778537.11	1579782981.23	4444.12789798
COFLOWID9	10	43	1022	1579778537.11	1579782981.23	4444.12790799
COFLOWID9	10	47	1022	1579778537.11	1579782981.23	4444.12791491
COFLOWID9	10	50	1022	1579778537.11	1579782981.23	4444.12791991
COFLOWID9	10	51	1022	1579778537.11	1579782981.23	4444.12792802
COFLOWID9	10	53	1022	1579778537.11	1579782981.23	4444.12793612
COFLOWID9	10	54	1022	1579778537.11	1579782981.23	4444.12794113
COFLOWID9	10	57	1022	1579778537.11	1579782981.23	4444.127949
COFLOWID9	10	59	1022	1579778537.11	1579782981.23	4444.12795496
COFLOWID9	10	60	1022	1579778537.11	1579782981.23	4444.12796092
COFLOWID9	10	67	1022	1579778537.11	1579782981.23	4444.12796807
COFLOWID9	10	71	1022	1579778537.11	1579782981.23	4444.12797594
COFLOWID9	10	75	1022	1579778537.11	1579782981.23	4444.12798095
COFLOWID9	10	77	1022	1579778537.11	1579782981.23	4444.1279881
COFLOWID9	10	82	1022	1579778537.11	1579782981.23	4444.12858796
COFLOWID9	10	87	1022	1579778537.11	1579782981.23	4444.12859511
COFLOWID9	10	101	1022	1579778537.11	1579782981.23	4444.12860107
COFLOWID9	10	102	1022	1579778537.11	1579782981.23	4444.12860799
COFLOWID9	10	113	1022	1579778537.11	1579782981.24	4444.13183403
COFLOWID9	10	123	1022	1579778537.11	1579782981.24	4444.1358521
COFLOWID9	10	124	1022	1579778537.11	1579782981.24	4444.13586593
COFLOWID9	10	125	1022	1579778537.11	1579782981.24	4444.13587499
COFLOWID9	10	132	1022	1579778537.11	1579782981.24	4444.13592196
COFLOWID9	10	133	1022	1579778537.11	1579782981.24	4444.13593102
COFLOWID9	10	141	1022	1579778537.11	1579782981.24	4444.13593793
COFLOWID9	10	142	1022	1579778537.11	1579782981.24	4444.13594699
COFLOWID9	10	144	1022	1579778537.11	1579782981.25	4444.13984394
COFLOWID9	10	145	1022	1579778537.11	1579782981.25	4444.14080095
COFLOWID9	10	146	1022	1579778537.11	1579782981.25	4444.14081001
COFLOWID9	10	149	1022	1579778537.11	1579782981.25	4444.14081812
COFLOWID9	50	0	1022	1579778605.25	1579783298.29	4693.04396415
COFLOWID9	50	1	1022	1579778605.25	1579783298.29	4693.04399705
COFLOWID9	50	3	1022	1579778605.25	1579783298.29	4693.04400492
COFLOWID9	50	7	1022	1579778605.25	1579783298.29	4693.04401398
COFLOWID9	50	10	1022	1579778605.25	1579783298.29	4693.04402113
COFLOWID9	50	11	1022	1579778605.25	1579783298.29	4693.044029
COFLOWID9	50	13	1022	1579778605.25	1579783298.29	4693.04403615
COFLOWID9	50	17	1022	1579778605.25	1579783298.29	4693.04404402
COFLOWID9	50	19	1022	1579778605.25	1579783298.29	4693.04484606
COFLOWID9	50	22	1022	1579778605.25	1579783298.29	4693.04485798
COFLOWID9	50	27	1022	1579778605.25	1579783298.29	4693.04486609
COFLOWID9	50	35	1022	1579778605.25	1579783298.29	4693.04552794
COFLOWID9	50	36	1022	1579778605.25	1579783298.29	4693.04553795
COFLOWID9	50	43	1022	1579778605.25	1579783298.29	4693.04554415
COFLOWID9	50	47	1022	1579778605.25	1579783298.29	4693.04555202
COFLOWID9	50	50	1022	1579778605.25	1579783298.29	4693.04556012
COFLOWID9	50	51	1022	1579778605.25	1579783298.29	4693.04556608
COFLOWID9	50	53	1022	1579778605.25	1579783298.29	4693.04557395
COFLOWID9	50	54	1022	1579778605.25	1579783298.29	4693.04558015
COFLOWID9	50	57	1022	1579778605.25	1579783298.29	4693.04558802
COFLOWID9	50	59	1022	1579778605.25	1579783298.29	4693.04559398
COFLOWID9	50	60	1022	1579778605.25	1579783298.31	4693.06457806
COFLOWID9	50	67	1022	1579778605.25	1579783298.31	4693.06459498
COFLOWID9	50	71	1022	1579778605.25	1579783298.31	4693.06460404
COFLOWID9	50	75	1022	1579778605.25	1579783298.31	4693.06462598
COFLOWID9	50	77	1022	1579778605.25	1579783298.31	4693.06463408
COFLOWID9	50	82	1022	1579778605.25	1579783298.31	4693.064641
