CoflowID	FLOWID	Start time	Endtime	Interval
7	FLOWID0	1579662389.16	1579662715.9	326.73800993
7	FLOWID1	1579662389.87	1579662728.17	338.304051876
7	FLOWID2	1579662389.87	1579662729.36	339.488042116
7	FLOWID3	1579662392.11	1579662738.72	346.612004995
7	FLOWID4	1579662396.13	1579662747.27	351.139997959
7	FLOWID5	1579662402.21	1579662754.3	352.083991051
7	FLOWID6	1579662402.21	1579662755.35	353.139990807
7	FLOWID7	1579662402.21	1579662756.48	354.264019012
7	FLOWID8	1579662411.97	1579662759.87	347.895983934
7	FLOWID9	1579662432.97	1579662763.59	330.624006987
9	FLOWID0	1579662393.16	1579665461.54	3068.38120317
9	FLOWID1	1579662459.59	1579665463.88	3004.29598594
9	FLOWID2	1579662595.66	1579665465.45	2869.79196191
4	FLOWID0	1579662338.16	1579690606.18	28268.0239072
4	FLOWID1	1579662374.2	1579690606.68	28232.4760051
